date,SARIMA,LSTM,Buy & Hold
2025-02-15,1.0277301634955356,1.0,1.0277301634955356
2025-02-16,1.0008353657339986,1.0,1.0008353657339986
2025-02-17,0.9686117255876374,1.0,0.9686117255876374
2025-02-18,0.9158708353199745,1.0,0.9158708353199745
2025-02-19,0.9158708353199745,0.9504676755273196,0.8705056239298407
2025-02-20,0.9158708353199745,0.9513515121845083,0.8713151041473465
2025-02-21,0.9158708353199745,0.9893253686265575,0.9060942517672469
2025-02-22,0.879346933305791,0.9498721821832548,0.8699602289433845
2025-02-23,0.879346933305791,0.9679228364520002,0.8864922967465725
2025-02-24,0.879346933305791,0.9447676090415504,0.8652850992761398
2025-02-25,0.7384829132357008,0.7934237441789201,0.7266736673438493
2025-02-26,0.7384829132357008,0.8113554308213463,0.7430967761677443
2025-02-27,0.6888940260166018,0.756873177769187,0.6931980695547489
2025-02-28,0.7039527228906381,0.7734178469427881,0.7083508495308677
2025-03-01,0.7039527228906381,0.8328163579230397,0.7627522133991134
2025-03-02,0.6812701651111983,0.8059815939623544,0.7381750357148261
2025-03-03,0.6812701651111983,1.001428506729071,0.917179162971189
2025-03-04,0.6812701651111983,0.8010012880570716,0.7336137187852058
2025-03-05,0.6812701651111983,0.8153211121121785,0.7467288280041916
2025-03-06,0.6812701651111983,0.8216142660095394,0.7524925441209647
2025-03-07,0.6685460535594882,0.8062689417775946,0.7384382091983975
2025-03-08,0.6486521140439647,0.7822767792697632,0.7164644872812175
2025-03-09,0.6379305152186051,0.7693464925781264,0.7046220148080212
2025-03-10,0.5901711041810679,0.7117484713316665,0.6518696669762484
2025-03-11,0.5901711041810679,0.6676397391273605,0.6114717655673856
2025-03-12,0.5901711041810679,0.7049729529860714,0.6456641673293424
2025-03-13,0.5901711041810679,0.7113612006890108,0.6515149770892643
2025-03-14,0.5901711041810679,0.6926580876441806,0.6343853413218118
2025-03-15,0.6395771936030487,0.7506438602016035,0.6874928192706528
2025-03-16,0.6395771936030487,0.7634785424111274,0.6992477303869559
2025-03-17,0.5940333449904489,0.7091117646361812,0.6494547842125604
2025-03-18,0.5940333449904489,0.7209972446184439,0.6603403486920942
2025-03-19,0.5940333449904489,0.7044968519667698,0.6452281202910979
2025-03-20,0.5940333449904489,0.7622683401130661,0.6981393413973243
2025-03-21,0.5940333449904489,0.7176050155979047,0.6572335050654563
2025-03-22,0.5966549938311952,0.7207720236002689,0.6601340753300468
2025-03-23,0.5973628284118855,0.7216271029482558,0.6609172175667524
2025-03-24,0.6146204243282607,0.7424746487824916,0.6800108767843253
2025-03-25,0.6146204243282607,0.7901269724248077,0.7236542502435511
2025-03-26,0.6146204243282607,0.8089763603081831,0.7409178548695684
2025-03-27,0.6146204243282607,0.7705337463021823,0.705709385868009
2025-03-28,0.620384224540305,0.7777596737112457,0.7123274020401094
2025-03-29,0.5803366322498463,0.7275530419487636,0.6663446122692026
2025-03-30,0.5581701276883736,0.6997634678862951,0.6408929518594233
2025-03-31,0.5585231967572829,0.7002061014558961,0.6412983470365544
2025-04-01,0.5585231967572829,0.7018109156455181,0.6427681495489369
2025-04-02,0.5585231967572829,0.7127189568915618,0.6527585063966558
2025-04-03,0.5585231967572829,0.6637001150841821,0.6078635788041132
2025-04-04,0.5543015770340944,0.6586835114544864,0.6032690178473146
2025-04-05,0.5804107645900058,0.6897093862726158,0.6316847117335277
2025-04-06,0.5804107645900058,0.6754069300658213,0.6185855092202835
2025-04-07,0.5108434565611878,0.5944535005030912,0.5444426240646492
2025-04-08,0.5108434565611878,0.6002516987428983,0.5497530247298922
2025-04-09,0.5108434565611878,0.5928876093589701,0.543008470034463
2025-04-10,0.5108434565611878,0.6686314039099261,0.6123800024201516
2025-04-11,0.5108434565611878,0.6344772163256827,0.5810991781076953
2025-04-12,0.5493371132789241,0.6822870646202558,0.6248868238017673
2025-04-13,0.5493371132789241,0.7427743150180183,0.6802853323497745
2025-04-14,0.5493371132789241,0.7207439495144032,0.6601083630935742
2025-04-15,0.5493371132789241,0.7274158747026048,0.6662189847888849
2025-04-16,0.5493371132789241,0.7098915341080614,0.6501689523301286
2025-04-17,0.5718329769098455,0.7389622499909186,0.6767939731691107
2025-04-18,0.5718329769098455,0.7566051377061868,0.6929525794783498
2025-04-19,0.5691182376651138,0.7530132048463574,0.6896628329296045
2025-04-20,0.5931885549145784,0.7848611856948525,0.7188314697525704
2025-04-21,0.5931885549145784,0.7735589288067837,0.7084800622954939
2025-04-22,0.5931885549145784,0.7662456102669665,0.7017820071354705
2025-04-23,0.5931885549145784,0.8363534088516655,0.7659916951876833
2025-04-24,0.5931885549145784,0.8486956761049801,0.7772956178067189
2025-04-25,0.5931885549145784,0.8561710902083861,0.784142131565968
2025-04-26,0.5876984630796607,0.8482470365955807,0.7768847219644877
2025-04-27,0.5807912651773477,0.8382776211216764,0.7677540250867511
2025-04-28,0.5807912651773477,0.8332210843061292,0.7631228904896696
2025-04-29,0.5807912651773477,0.8317831405179649,0.7618059197112604
2025-04-30,0.5763666739700366,0.8254464398983342,0.7560023204215868
