strategy,final_return,max_drawdown,sharpe
Buy & Hold,0.1496637741300179,-1.238327859343634,4.389605847164007
LSTM,0.11287912988119306,-1.2574883036628914,4.7538597490498775
SARIMA,0.0020747564121530765,0.0,5.000217116622587
