User,Timestamp,Content
@CryptoNewsYes,2025-04-30T17:05:47.000Z,Arthur Hayes Forecasts $1 Million Bitcoin by 2028 Amid Rising ETF Flows
@CryptoNewsYes,2024-06-25T00:16:30.000Z,Breaking news: Devin Haney reported positive for being a lil cry baby biatch 
@CryptoNewsYes,2023-09-17T19:05:26.000Z," Why You NEED To Own At Least 0.1 #Bitcoin | Michael Saylor 2024 Prediction:

“I think there are only 3 things relevant right now and here are the 3 things.

The halving is coming with 100% certainty. 

And as far as I can see, most of the selling of #BTC in the market is"
